hospital,procedure_name,code_type,code,description,setting,display_price,display_price_type,gross_price,cash_price,negotiated_price,negotiated_min,negotiated_max,payer_name,plan_name,data_quality_flag,user_relevance_flag,user_relevance_reason,source_url,evidence_source
UC San Diego Medical Center,MRI spine,CPT,72148,Mri Scan Of Lower Spinal Canal,both,2637.7,negotiated,4058.0,2231.9,2637.7,164.02,5478.3,INTERLINK HEALTH TRANSPLANT [2085],INTERLINK HEALTH SERVICES INC,ok,display_ok,,https://hsfiles.ucsd.edu/patientBilling/UC-San-Diego-Standard-Charges-956006144.json,targeted_cpt_dry_run
UC San Diego Medical Center,MRI spine,CPT,72148,Mri Scan Of Lower Spinal Canal,both,3558.87,negotiated,4058.0,2231.9,3558.87,164.02,5478.3,UNITED HEALTHCARE [1088],UNITED HEALTHCARE MEDI-CAL (PRODUCT ENDED 1/1/2023),ok,display_ok,,https://hsfiles.ucsd.edu/patientBilling/UC-San-Diego-Standard-Charges-956006144.json,targeted_cpt_dry_run
UC San Diego Medical Center,MRI spine,CPT,72148,Mri Scan Of Lower Spinal Canal,both,4869.6,negotiated,4058.0,2231.9,4869.6,164.02,5478.3,UNITED HEALTHCARE [1088],PALOMAR HEALTH COMMERCIAL,ok,display_ok,,https://hsfiles.ucsd.edu/patientBilling/UC-San-Diego-Standard-Charges-956006144.json,targeted_cpt_dry_run
UC San Diego Medical Center,MRI spine,CPT,72148,Mri Scan Of Lower Spinal Canal,both,2662.05,negotiated,4058.0,2231.9,2662.05,164.02,5478.3,SHARP REES STEALY [1080],SHARP HEALTH CARE,ok,display_ok,,https://hsfiles.ucsd.edu/patientBilling/UC-San-Diego-Standard-Charges-956006144.json,targeted_cpt_dry_run
UC San Diego Medical Center,MRI spine,CPT,72148,Mri Scan Of Lower Spinal Canal,both,2451.03,negotiated,4058.0,2231.9,2451.03,164.02,5478.3,BLUE SHIELD [1014],BLUE SHIELD COVERED CA TRIO HMO,ok,display_ok,,https://hsfiles.ucsd.edu/patientBilling/UC-San-Diego-Standard-Charges-956006144.json,targeted_cpt_dry_run
UC San Diego Medical Center,MRI spine,CPT,72148,Mri Scan Of Lower Spinal Canal,both,2637.7,negotiated,4058.0,2231.9,2637.7,164.02,5478.3,CMN - CANADIAN MEDICAL NETWORK [1024],CMN GLOBAL INC,ok,display_ok,,https://hsfiles.ucsd.edu/patientBilling/UC-San-Diego-Standard-Charges-956006144.json,targeted_cpt_dry_run
UC San Diego Medical Center,MRI spine,CPT,72148,Mri Scan Of Lower Spinal Canal,both,266.8,negotiated,4058.0,2231.9,266.8,164.02,5478.3,BRAND NEW DAY [1089],UCSD HB NON-CONTRACTED MEDI-CAL MANAGED CARE,ok,display_ok,,https://hsfiles.ucsd.edu/patientBilling/UC-San-Diego-Standard-Charges-956006144.json,targeted_cpt_dry_run
UC San Diego Medical Center,MRI spine,CPT,72148,Mri Scan Of Lower Spinal Canal,both,373.52,negotiated,4058.0,2231.9,373.52,164.02,5478.3,INLAND EMPIRE HEALTH PLAN [1121],INLAND EMPIRE HEALTHPLAN MEDI-CAL,ok,display_ok,,https://hsfiles.ucsd.edu/patientBilling/UC-San-Diego-Standard-Charges-956006144.json,targeted_cpt_dry_run
UC San Diego Medical Center,MRI spine,CPT,72148,Mri Scan Of Lower Spinal Canal,both,386.86,negotiated,4058.0,2231.9,386.86,164.02,5478.3,CAL OPTIMA [1016],CalOptima Medi-Cal,ok,display_ok,,https://hsfiles.ucsd.edu/patientBilling/UC-San-Diego-Standard-Charges-956006144.json,targeted_cpt_dry_run
UC San Diego Medical Center,MRI spine,CPT,72148,Mri Scan Of Lower Spinal Canal,both,4869.6,negotiated,4058.0,2231.9,4869.6,164.02,5478.3,PALOMAR HEALTH [1128],PALOMAR HEALTH COMMERCIAL,ok,display_ok,,https://hsfiles.ucsd.edu/patientBilling/UC-San-Diego-Standard-Charges-956006144.json,targeted_cpt_dry_run
UC San Diego Medical Center,MRI spine,CPT,72148,Mri Scan Of Lower Spinal Canal,both,2637.7,negotiated,4058.0,2231.9,2637.7,164.02,5478.3,MGM RESORTS [1053],MGM RESORT,ok,display_ok,,https://hsfiles.ucsd.edu/patientBilling/UC-San-Diego-Standard-Charges-956006144.json,targeted_cpt_dry_run
UC San Diego Medical Center,MRI spine,CPT,72148,Mri Scan Of Lower Spinal Canal,both,266.8,negotiated,4058.0,2231.9,266.8,164.02,5478.3,IMPERIAL HEALTH HOLDINGS [1132],UCSD HB NON-CONTRACTED MEDI-CAL MANAGED CARE,ok,display_ok,,https://hsfiles.ucsd.edu/patientBilling/UC-San-Diego-Standard-Charges-956006144.json,targeted_cpt_dry_run
UC San Diego Medical Center,Shoulder arthroscopy,CPT,29827,Repair of shoulder rotator cuff using an endoscope,outpatient,494.04,negotiated,55989.03,30793.97,494.04,90.0,16679.67,SD PHYSICIANS MED GRP [1076],UCSD HB NON-CONTRACTED MEDI-CAL MANAGED CARE,ok,display_ok,,https://hsfiles.ucsd.edu/patientBilling/UC-San-Diego-Standard-Charges-956006144.json,targeted_cpt_dry_run
UC San Diego Medical Center,Shoulder arthroscopy,CPT,29827,Repair of shoulder rotator cuff using an endoscope,outpatient,39192.32,negotiated,55989.03,30793.97,39192.32,90.0,16679.67,EMBASSY SPONSORED [1101],ROYAL EMBASSY,ok,display_ok,,https://hsfiles.ucsd.edu/patientBilling/UC-San-Diego-Standard-Charges-956006144.json,targeted_cpt_dry_run
UC San Diego Medical Center,Shoulder arthroscopy,CPT,29827,Repair of shoulder rotator cuff using an endoscope,outpatient,23750.55,negotiated,55989.03,30793.97,23750.55,90.0,16679.67,BLUE SHIELD [1014],BLUE SHIELD OF CALIFORNIA UC CARE / HSP,ok,display_ok,,https://hsfiles.ucsd.edu/patientBilling/UC-San-Diego-Standard-Charges-956006144.json,targeted_cpt_dry_run
UC San Diego Medical Center,Shoulder arthroscopy,CPT,29827,Repair of shoulder rotator cuff using an endoscope,outpatient,9014.23,negotiated,55989.03,30793.97,9014.23,90.0,16679.67,PADRES WORKERS COMPENSATION [2013],GLOBAL SPORTS SERVICES PROVIDER ALLIANCE (PADRES),ok,display_ok,,https://hsfiles.ucsd.edu/patientBilling/UC-San-Diego-Standard-Charges-956006144.json,targeted_cpt_dry_run
UC San Diego Medical Center,Shoulder arthroscopy,CPT,29827,Repair of shoulder rotator cuff using an endoscope,outpatient,1145.26,negotiated,55989.03,30793.97,1145.26,90.0,16679.67,CHAMPVA [1020],VETERANS ADMINISTRATION - CHAMPVA,ok,display_ok,,https://hsfiles.ucsd.edu/patientBilling/UC-San-Diego-Standard-Charges-956006144.json,targeted_cpt_dry_run
UC San Diego Medical Center,Shoulder arthroscopy,CPT,29827,Repair of shoulder rotator cuff using an endoscope,outpatient,6718.68,negotiated,55989.03,30793.97,6718.68,90.0,16679.67,MC HNET BLUE&GOLD ACO [164017],UC MANAGED CARE,ok,display_ok,,https://hsfiles.ucsd.edu/patientBilling/UC-San-Diego-Standard-Charges-956006144.json,targeted_cpt_dry_run
UC San Diego Medical Center,Shoulder arthroscopy,CPT,29827,Repair of shoulder rotator cuff using an endoscope,outpatient,494.04,negotiated,55989.03,30793.97,494.04,90.0,16679.67,CALIFORNIA HEALTH & WELLNESS MEDI-CAL [1122],CALIFORNIA HEALTH AND WELLNESS MEDI-CAL (no longer Medi-Cal plan as of 1/1/24),ok,display_ok,,https://hsfiles.ucsd.edu/patientBilling/UC-San-Diego-Standard-Charges-956006144.json,targeted_cpt_dry_run
